nohup: ignoring input
Processing sample: SBCC056
Running GATK HaplotypeCaller for SBCC056
13:56:37.776 WARN  GATKReadFilterPluginDescriptor - Redundant enabled filter (NotSecondaryAlignmentReadFilter) is enabled for this tool by default
13:56:37.797 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
13:56:37.969 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:56:38.253 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.254 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.3.0.0
13:56:38.255 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:56:38.255 INFO  HaplotypeCaller - Executing as hamzaamhal@selva on Linux v6.1.0-23-amd64 amd64
13:56:38.255 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v17.0.11-internal+0-adhoc..src
13:56:38.256 INFO  HaplotypeCaller - Start Date/Time: May 22, 2025 at 1:56:37 PM CEST
13:56:38.256 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.256 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.258 INFO  HaplotypeCaller - HTSJDK Version: 3.0.1
13:56:38.258 INFO  HaplotypeCaller - Picard Version: 2.27.5
13:56:38.259 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
13:56:38.259 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:56:38.259 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:56:38.260 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:56:38.260 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:56:38.260 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:56:38.261 INFO  HaplotypeCaller - Inflater: IntelInflater
13:56:38.261 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:56:38.261 INFO  HaplotypeCaller - Requester pays: disabled
13:56:38.261 INFO  HaplotypeCaller - Initializing engine
13:56:38.579 INFO  HaplotypeCaller - Done initializing engine
13:56:38.584 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
13:56:38.605 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
13:56:38.605 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
13:56:38.633 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:56:38.637 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:56:38.667 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:56:38.669 INFO  IntelPairHmm - Available threads: 1
13:56:38.669 INFO  IntelPairHmm - Requested threads: 7
13:56:38.669 WARN  IntelPairHmm - Using 1 available threads, but 7 were requested
13:56:38.670 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:56:38.764 INFO  ProgressMeter - Starting traversal
13:56:38.765 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
14:16:15.401 INFO  ProgressMeter -     chr1H_0:10915280             19.6                 46410           2366.6
14:16:34.118 INFO  ProgressMeter -     chr1H_0:11495938             19.9                 48590           2438.9
14:16:44.699 INFO  ProgressMeter -     chr1H_0:11627804             20.1                 49150           2445.4
14:17:00.076 INFO  ProgressMeter -     chr1H_0:11797836             20.4                 49880           2450.5
14:17:10.076 INFO  ProgressMeter -     chr1H_0:11871786             20.5                 50250           2448.6
14:17:20.276 INFO  ProgressMeter -     chr1H_0:12114795             20.7                 51300           2479.2
14:17:30.899 INFO  ProgressMeter -     chr1H_0:12698824             20.9                 53380           2557.9
14:17:52.711 INFO  ProgressMeter -     chr1H_0:12733013             21.2                 53550           2522.1
14:18:02.950 INFO  ProgressMeter -     chr1H_0:12804029             21.4                 53850           2516.0
14:18:36.641 INFO  ProgressMeter -     chr1H_0:12820552             22.0                 53930           2455.3
14:18:47.040 INFO  ProgressMeter -     chr1H_0:12824362             22.1                 53950           2437.0
14:18:59.218 INFO  ProgressMeter -     chr1H_0:12825982             22.3                 53960           2415.3
14:19:09.857 INFO  ProgressMeter -     chr1H_0:12998994             22.5                 54560           2422.9
14:19:24.713 INFO  ProgressMeter -     chr1H_0:13346123             22.8                 55830           2452.4
14:20:00.131 INFO  ProgressMeter -     chr1H_0:13387535             23.4                 56010           2398.1
14:20:10.418 INFO  ProgressMeter -     chr1H_0:13827986             23.5                 57630           2449.5
14:20:20.456 INFO  ProgressMeter -     chr1H_0:14170485             23.7                 59080           2493.4
14:20:32.795 INFO  ProgressMeter -     chr1H_0:14265251             23.9                 59440           2487.0
14:20:43.285 INFO  ProgressMeter -     chr1H_0:14393594             24.1                 60030           2493.4
14:21:09.213 INFO  ProgressMeter -     chr1H_0:14712847             24.5                 61380           2504.5
14:21:19.565 INFO  ProgressMeter -     chr1H_0:15072610             24.7                 62850           2546.6
14:21:30.933 INFO  ProgressMeter -     chr1H_0:15524654             24.9                 64670           2600.4
14:21:40.959 INFO  ProgressMeter -     chr1H_0:15765220             25.0                 65630           2621.4
14:21:50.963 INFO  ProgressMeter -     chr1H_0:16099320             25.2                 67100           2662.3
14:22:02.093 INFO  ProgressMeter -     chr1H_0:16339561             25.4                 68050           2680.3
14:22:13.104 INFO  ProgressMeter -     chr1H_0:16421666             25.6                 68400           2674.8
14:22:23.430 INFO  ProgressMeter -     chr1H_0:16447476             25.7                 68540           2662.3
14:22:33.437 INFO  ProgressMeter -     chr1H_0:16739346             25.9                 69770           2692.7
14:22:43.855 INFO  ProgressMeter -     chr1H_0:17156739             26.1                 71650           2746.8
14:22:55.405 INFO  ProgressMeter -     chr1H_0:17173356             26.3                 71750           2730.5
14:23:05.804 INFO  ProgressMeter -     chr1H_0:17323387             26.5                 72480           2740.2
14:23:16.040 INFO  ProgressMeter -     chr1H_0:17734984             26.6                 74200           2787.2
14:23:26.804 INFO  ProgressMeter -     chr1H_0:17953267             26.8                 75170           2804.8
14:23:37.997 INFO  ProgressMeter -     chr1H_0:19432795             27.0                 80220           2972.5
14:23:52.112 INFO  ProgressMeter -     chr1H_0:19577224             27.2                 80820           2968.9
14:24:02.279 INFO  ProgressMeter -     chr1H_0:19828525             27.4                 81980           2992.9
14:24:12.283 INFO  ProgressMeter -     chr1H_0:19865976             27.6                 82140           2980.6
14:24:22.361 INFO  ProgressMeter -     chr1H_0:20121559             27.7                 83200           3000.7
14:24:33.333 INFO  ProgressMeter -     chr1H_0:20700720             27.9                 85710           3071.0
14:24:48.259 INFO  ProgressMeter -     chr1H_0:20931127             28.2                 86680           3078.3
14:24:58.291 INFO  ProgressMeter -     chr1H_0:21128491             28.3                 87640           3094.0
14:25:08.296 INFO  ProgressMeter -     chr1H_0:21434505             28.5                 89140           3128.6
14:25:21.474 INFO  ProgressMeter -     chr1H_0:21600408             28.7                 89970           3133.6
14:25:33.433 INFO  ProgressMeter -     chr1H_0:21603719             28.9                 89990           3112.6
14:25:43.788 INFO  ProgressMeter -     chr1H_0:21855357             29.1                 91180           3135.1
14:26:03.434 INFO  ProgressMeter -     chr1H_0:22086267             29.4                 92100           3131.5
14:26:14.482 INFO  ProgressMeter -     chr1H_0:22128463             29.6                 92310           3119.1
14:26:24.820 INFO  ProgressMeter -     chr1H_0:22316845             29.8                 93240           3132.3
14:26:35.163 INFO  ProgressMeter -     chr1H_0:22323700             29.9                 93290           3115.9
14:26:49.748 INFO  ProgressMeter -     chr1H_0:22352711             30.2                 93460           3096.4
14:27:00.513 INFO  ProgressMeter -     chr1H_0:22378947             30.4                 93680           3085.4
14:27:10.713 INFO  ProgressMeter -     chr1H_0:22428528             30.5                 93960           3077.4
14:27:22.144 INFO  ProgressMeter -     chr1H_0:22580264             30.7                 94630           3080.1
14:27:33.292 INFO  ProgressMeter -     chr1H_0:22918641             30.9                 96040           3107.2
14:27:43.322 INFO  ProgressMeter -     chr1H_0:23304679             31.1                 97550           3139.1
14:27:56.773 INFO  ProgressMeter -     chr1H_0:23343182             31.3                 97780           3123.9
14:28:08.021 INFO  ProgressMeter -     chr1H_0:23452047             31.5                 98260           3120.6
14:28:24.517 INFO  ProgressMeter -     chr1H_0:23460997             31.8                 98310           3095.2
14:28:41.536 INFO  ProgressMeter -     chr1H_0:23462971             32.0                 98320           3068.1
14:29:28.414 INFO  ProgressMeter -     chr1H_0:23465425             32.8                 98340           2995.7
14:29:39.922 INFO  ProgressMeter -     chr1H_0:23475042             33.0                 98390           2979.8
14:29:49.948 INFO  ProgressMeter -     chr1H_0:23744479             33.2                 99500           2998.2
14:29:59.951 INFO  ProgressMeter -     chr1H_0:24254949             33.4                101440           3041.4
14:30:09.959 INFO  ProgressMeter -     chr1H_0:24568185             33.5                102800           3066.8
14:30:19.986 INFO  ProgressMeter -     chr1H_0:25108051             33.7                104970           3116.0
14:30:30.091 INFO  ProgressMeter -     chr1H_0:25678685             33.9                107140           3164.6
14:30:40.097 INFO  ProgressMeter -     chr1H_0:26175009             34.0                109070           3205.8
14:30:50.709 INFO  ProgressMeter -     chr1H_0:26374144             34.2                110020           3217.0
14:31:00.712 INFO  ProgressMeter -     chr1H_0:26503000             34.4                110670           3220.4
14:31:10.757 INFO  ProgressMeter -     chr1H_0:26948302             34.5                112920           3269.9
14:31:20.758 INFO  ProgressMeter -     chr1H_0:27571562             34.7                115570           3330.6
14:31:30.940 INFO  ProgressMeter -     chr1H_0:28473608             34.9                118940           3411.0
14:31:41.199 INFO  ProgressMeter -     chr1H_0:29132487             35.0                121440           3465.7
14:31:51.564 INFO  ProgressMeter -     chr1H_0:29294261             35.2                122200           3470.3
14:32:03.977 INFO  ProgressMeter -     chr1H_0:29428246             35.4                122770           3466.1
14:32:14.221 INFO  ProgressMeter -     chr1H_0:29611843             35.6                123590           3472.5
14:32:24.881 INFO  ProgressMeter -     chr1H_0:29625957             35.8                123680           3457.8
14:32:34.997 INFO  ProgressMeter -     chr1H_0:30145608             35.9                125740           3498.9
14:32:45.038 INFO  ProgressMeter -     chr1H_0:31090268             36.1                129290           3581.0
14:32:59.154 INFO  ProgressMeter -     chr1H_0:31110120             36.3                129380           3560.3
14:33:27.926 INFO  ProgressMeter -     chr1H_0:31111624             36.8                129390           3514.2
14:33:57.907 INFO  ProgressMeter -     chr1H_0:31400292             37.3                130510           3497.1
14:34:08.975 INFO  ProgressMeter -     chr1H_0:31404841             37.5                130540           3480.7
14:34:26.250 INFO  ProgressMeter -     chr1H_0:31440069             37.8                130680           3457.9
14:34:37.758 INFO  ProgressMeter -     chr1H_0:31441634             38.0                130690           3440.7
14:35:29.077 INFO  ProgressMeter -     chr1H_0:31443258             38.8                130700           3365.2
14:35:39.082 INFO  ProgressMeter -     chr1H_0:31904777             39.0                132460           3396.0
14:35:49.119 INFO  ProgressMeter -     chr1H_0:32508172             39.2                134880           3443.2
14:35:59.211 INFO  ProgressMeter -     chr1H_0:32984511             39.3                137030           3483.2
14:36:11.520 INFO  ProgressMeter -     chr1H_0:33015637             39.5                137240           3470.4
14:36:22.052 INFO  ProgressMeter -     chr1H_0:33068313             39.7                137560           3463.1
14:36:32.420 INFO  ProgressMeter -     chr1H_0:33217106             39.9                138310           3466.9
14:36:44.395 INFO  ProgressMeter -     chr1H_0:33477383             40.1                139490           3479.1
14:36:54.473 INFO  ProgressMeter -     chr1H_0:34677868             40.3                143900           3574.1
14:37:04.754 INFO  ProgressMeter -     chr1H_0:34854022             40.4                144590           3576.0
14:37:17.057 INFO  ProgressMeter -     chr1H_0:35732383             40.6                147960           3640.9
14:37:29.305 INFO  ProgressMeter -     chr1H_0:35733637             40.8                147970           3623.0
14:37:39.312 INFO  ProgressMeter -     chr1H_0:36629719             41.0                151340           3690.4
14:37:49.358 INFO  ProgressMeter -     chr1H_0:37205643             41.2                153700           3732.7
14:38:00.625 INFO  ProgressMeter -     chr1H_0:37823352             41.4                156400           3781.0
14:38:10.627 INFO  ProgressMeter -     chr1H_0:38609031             41.5                159430           3838.8
14:38:20.643 INFO  ProgressMeter -     chr1H_0:39917167             41.7                164400           3942.6
14:38:30.683 INFO  ProgressMeter -     chr1H_0:41224684             41.9                169300           4043.9
14:38:41.505 INFO  ProgressMeter -     chr1H_0:42014643             42.0                172370           4099.6
14:38:51.516 INFO  ProgressMeter -     chr1H_0:42785490             42.2                175320           4153.3
14:39:01.608 INFO  ProgressMeter -     chr1H_0:44037125             42.4                180020           4247.7
14:39:11.643 INFO  ProgressMeter -     chr1H_0:45286240             42.5                184810           4343.6
14:39:21.646 INFO  ProgressMeter -     chr1H_0:46418746             42.7                189090           4426.8
14:39:32.972 INFO  ProgressMeter -     chr1H_0:47056786             42.9                191500           4463.5
14:39:43.388 INFO  ProgressMeter -     chr1H_0:47479410             43.1                193080           4482.2
14:39:53.393 INFO  ProgressMeter -     chr1H_0:47942852             43.2                194820           4505.2
14:40:04.077 INFO  ProgressMeter -     chr1H_0:48794622             43.4                198020           4560.4
14:40:14.254 INFO  ProgressMeter -     chr1H_0:49621342             43.6                201150           4614.4
14:40:24.261 INFO  ProgressMeter -     chr1H_0:50781110             43.8                205540           4697.2
14:40:34.354 INFO  ProgressMeter -     chr1H_0:52042443             43.9                210270           4786.9
14:40:44.355 INFO  ProgressMeter -     chr1H_0:52950424             44.1                213740           4847.5
14:40:54.356 INFO  ProgressMeter -     chr1H_0:54677968             44.3                220210           4975.4
14:41:04.373 INFO  ProgressMeter -     chr1H_0:55370160             44.4                222830           5015.7
14:41:14.375 INFO  ProgressMeter -     chr1H_0:56201118             44.6                225950           5066.9
14:41:24.572 INFO  ProgressMeter -     chr1H_0:57494985             44.8                230800           5156.0
14:41:34.873 INFO  ProgressMeter -     chr1H_0:57894673             44.9                232820           5181.2
14:41:44.878 INFO  ProgressMeter -     chr1H_0:59087407             45.1                237450           5264.7
14:41:54.884 INFO  ProgressMeter -     chr1H_0:59808597             45.3                240430           5311.2
14:42:04.891 INFO  ProgressMeter -     chr1H_0:60393950             45.4                243270           5354.2
14:42:15.098 INFO  ProgressMeter -     chr1H_0:60984971             45.6                246160           5397.6
14:42:25.109 INFO  ProgressMeter -     chr1H_0:61628220             45.8                249440           5449.6
14:42:35.134 INFO  ProgressMeter -     chr1H_0:62221345             45.9                252390           5494.0
14:42:45.330 INFO  ProgressMeter -     chr1H_0:63143068             46.1                256320           5559.0
14:42:55.351 INFO  ProgressMeter -     chr1H_0:63640861             46.3                258870           5594.0
14:43:05.398 INFO  ProgressMeter -     chr1H_0:64132312             46.4                261380           5627.9
